replicate,stat
1,0.044026424539160294
2,0.028983639919348134
3,0.02110246281437448
4,0.018587008185213316
5,0.03625172120289655
6,0.0677373134363854
7,0.04528239170943653
8,0.04020477952104817
9,0.04477361745552024
10,0.028949890921133835
11,0.031105103758244955
12,0.0303739072257945
13,0.04757254246911868
14,0.03497210873979551
15,0.052879246887990186
16,0.044244489605653095
17,0.04634933844747477
18,0.011481076056471624
19,0.03436956697564111
20,0.06162356311351547
21,0.04351136717719561
22,0.046623554622750425
23,0.02468768336907664
24,0.04434474481940523
25,0.0672339507356675
26,0.03510972796181034
27,0.040353307382275994
28,0.029923555716733826
29,0.03683263822450759
30,0.02848871423787976
31,0.030439700748611867
32,0.04918526096864636
33,0.03874833730656242
34,0.04735922218017676
35,0.035702869819315565
36,0.02327819170736064
37,0.01767073785555679
38,0.01610451682237945
39,0.06109851909712774
40,0.04747429526835621
41,0.04560412269682871
42,0.06644634440712736
43,0.016082424860166384
44,0.04095785182704587
45,0.025081518389987956
46,0.017112588852829198
47,0.06750938997967401
48,0.06524898687957069
49,0.04301873379418833
50,0.02289354573365867
51,0.0329505604914916
52,0.04296005749805971
53,0.04504364923740827
54,0.06982345623330996
55,0.045584852663834885
56,0.03212148837159333
57,0.04680041571633668
58,0.06691938985728614
59,0.04646355757512859
60,0.04723279400852693
61,0.04371949423581229
62,0.005527599947829068
63,0.03751901303869664
64,0.019713174962813555
65,0.04751452312517492
66,0.03281503954029986
67,0.054243507928100655
68,0.02718107709718481
69,0.05347423760708591
70,0.044421594582363916
71,0.024560152688503763
72,0.05874197855941557
73,0.023821161279203137
74,0.02097685797057257
75,0.06503724418619712
76,0.05312742749697754
77,0.02808039459300817
78,0.039195957996602304
79,0.030614982134872234
80,0.03263733098106411
81,0.027724446435745124
82,0.005356362369326319
83,0.06927344377928982
84,0.041253435460414
85,0.03814797189963406
86,0.0680574678260105
87,0.058607970328134154
88,0.030883386974858092
89,0.04319639769509991
90,0.0547105950510891
91,0.05368713638566319
92,0.04146095221035417
93,0.015068757082625247
94,0.03418041791205521
95,0.029955975425566994
96,0.02722130175636645
97,0.04946067403789559
98,0.051062271016277035
99,0.03848982798574646
100,0.02119449847845093
101,0.03158574452650733
102,0.0126732801260107
103,0.0356052355864152
104,0.055687200991548114
105,0.0669755622264734
106,0.01541731238458064
107,0.07336929910861609
108,0.027213496607824357
109,0.026138019368522787
110,0.03129609627659086
111,0.012880232241440307
112,0.07257543309163005
113,0.046564390174771694
114,0.03764828912223104
115,0.03859445062447017
116,0.05893868746688842
117,0.05487663515789773
118,0.01725522092418195
119,0.06274969295298094
120,0.07015812009703723
121,0.03245061606623652
122,0.051324279659023614
123,0.05669637484820248
